Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns,,,,Date Modified
HINDALCO,HINDALCO.NS,NSE:HINDALCO,0.0456223445,0.5992329818,3.631903733,9.639262934,,,,
TVSMOTOR,TVSMOTOR.NS,NSE:TVSMOTOR,4.971694496,10.30348718,37.32867211,72.79280638,,,,
DIVISLAB,DIVISLAB.NS,NSE:DIVISLAB,0.1121135459,0.6034598364,0.953279425,4.392594597,,,,
VBL,VBL.NS,NSE:VBL,-0.2978279354,0.2262419006,6.347136849,6.347136849,,,,
LTIM,LTIM.NS,NSE:LTIM,-0.1760848663,-0.0279146752,-0.0279146752,-0.0279146752,,,,
BAJAJHLDNG,BAJAJHLDNG.NS,NSE:BAJAJHLDNG,0.1992197048,0.7859276811,4.326505531,7.302151842,,,,
TECHM,TECHM.NS,NSE:TECHM,-0.1163032191,0.1133171726,0.8731145206,1.523020579,,,,
AMBUJACEM,AMBUJACEM.NS,NSE:AMBUJACEM,-0.05539382177,0.3810593521,1.842092457,1.876385127,,,,
BRITANNIA,BRITANNIA.NS,NSE:BRITANNIA,-0.031137406,0.31508408,0.6303168403,3.114944575,,,,
BPCL,BPCL.NS,NSE:BPCL,-0.03095975232,0.8678601876,0.7492548435,1.231918506,,,,
CHOLAFIN,CHOLAFIN.NS,NSE:CHOLAFIN,-0.0008672489624,0.3632829009,5.757017176,11.59291068,,,,
PFC,PFC.NS,NSE:PFC,-0.16348607,0.7206129303,5.002489748,3.467516896,,,,
SOLARINDS,SOLARINDS.NS,NSE:SOLARINDS,0.2443404207,2.077473415,12.84337819,18.87427195,,,,
PNB,PNB.NS,NSE:PNB,0.03857924511,0.3963840399,2.855077453,-0.1695216908,,,,
BANKBARODA,BANKBARODA.NS,NSE:BANKBARODA,0.03776683087,0.1628334867,5.08423586,0.3772813947,,,,
TATAPOWER,TATAPOWER.NS,NSE:TATAPOWER,-0.16704,0.5198520825,6.353107345,4.961068702,,,,
GODREJCP,GODREJCP.NS,NSE:GODREJCP,-0.1793134442,0.2151302656,0.6906423586,2.043355639,,,,
ENRIN,ENRIN.NS,NSE:ENRIN,0,0,0,0,,,,
HDFCAMC,HDFCAMC.NS,NSE:HDFCAMC,0.2909815478,1.164838456,1.739547554,1.739547554,,,,
CIPLA,CIPLA.NS,NSE:CIPLA,-0.06470031449,0.2986814771,0.9888326191,1.386041439,,,,
TORNTPHARM,TORNTPHARM.NS,NSE:TORNTPHARM,0.03402575701,0.9429932599,1.639688739,4.139404007,,,,
MUTHOOTFIN,MUTHOOTFIN.NS,NSE:MUTHOOTFIN,0.5286288297,1.41308226,1.798492023,18.55348538,,,,
CGPOWER,CGPOWER.NS,NSE:CGPOWER,-0.01304598069,0.7761537576,34.47816092,3.508618171,,,,
LODHA,LODHA.NS,NSE:LODHA,-0.1652618687,0.5247055727,0.5247055727,0.5247055727,,,,
MAZDOCK,MAZDOCK.NS,NSE:MAZDOCK,0.4095580922,1.758365001,1.758365001,1.758365001,,,,
GAIL,GAIL.NS,NSE:GAIL,-0.2079665888,0.4409313725,2.105105634,2.220193537,,,,
SHRIRAMFIN,SHRIRAMFIN.NS,NSE:SHRIRAMFIN,-0.1215197793,0.5877258359,4.232932407,2.566562753,,,,
BOSCHLTD,BOSCHLTD.NS,NSE:BOSCHLTD,0.05971397667,1.035795881,2.008109017,0.9358306602,,,,
MOTHERSON,MOTHERSON.NS,NSE:MOTHERSON,-0.2174608949,0.6668216333,1.203195412,1.282198175,,,,
SIEMENS,SIEMENS.NS,NSE:SIEMENS,-0.1314860395,0.668030416,4.10283801,3.826717741,,,,
POLYCAB,POLYCAB.NS,NSE:POLYCAB,0.1227516804,0.4356777936,8.022329511,8.022329511,,,,
MAXHEALTH,MAXHEALTH.NS,NSE:MAXHEALTH,0.1085015528,1.053762474,9.393084622,9.393084622,,,,
ABB,ABB.NS,NSE:ABB,-0.3527394717,0.2518135459,5.134811686,4.553761671,,,,
ADANIENSOL,ADANIENSOL.NS,NSE:ADANIENSOL,-0.1464586405,0.08044315992,0.08044315992,0.08044315992,,,,
SWIGGY,SWIGGY.NS,NSE:SWIGGY,0,0,0,0,,,,
TATACONSUM,TATACONSUM.NS,NSE:TATACONSUM,-0.06474642017,0.2582722629,1.222832483,7.915814319,,,,
APOLLOHOSP,APOLLOHOSP.NS,NSE:APOLLOHOSP,0.07525975849,0.5024376845,2.776785934,4.458887265,,,,
CUMMINSIND,CUMMINSIND.NS,NSE:CUMMINSIND,0.03973630253,1.307271418,7.966983772,2.65911582,,,,
INDHOTEL,INDHOTEL.NS,NSE:INDHOTEL,0.03779948008,0.8075134606,7.310453471,8.084255843,,,,
DIXON,DIXON.NS,NSE:DIXON,0.2833967303,2.764150075,9.46523529,9.46523529,,,,
