Symbols,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns
AAPL,0.128758776,0.4517832803,1.362132693,8.093916756
MSFT,0.1772277456,0.6071676009,1.511639352,10.78886579
GOOGL,0.5614457831,0.9275417588,2.552431825,7.097404678
AMZN,0.1487002269,0.6965795688,0.4749983443,7.837698413
TSLA,0.73988,0.7610834447,2.365078137,25.26630435
NVDA,0.5448133494,3.2539081,13.54251012,308.6551724
AMD,0.03132376396,0.6600944753,1.132155104,96.38554217
META,0.354883861,1.542000465,2.064601451,7.572021074
