Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns
TECHM,TECHM.NS,NSE:TECHM,-0.08353296208,0.133479549,0.9590343819,1.56871294
AMBUJACEM,AMBUJACEM.NS,NSE:AMBUJACEM,-0.05313077727,0.3927642469,1.970996217,1.900763359
BRITANNIA,BRITANNIA.NS,NSE:BRITANNIA,-0.04366306028,0.299766961,0.6441768736,3.067016768
BPCL,BPCL.NS,NSE:BPCL,-0.02218278616,0.8789428815,0.7526374384,1.24516129
CHOLAFIN,CHOLAFIN.NS,NSE:CHOLAFIN,-0.006212320592,0.3724114614,6.065709312,11.67723298
PFC,PFC.NS,NSE:PFC,-0.1602198697,0.7317380353,5.246214416,3.496402878
SOLARINDS,SOLARINDS.NS,NSE:SOLARINDS,0.2891812202,2.080725412,12.84450507,18.8952733
PNB,PNB.NS,NSE:PNB,0.01650076226,0.4133416459,3.040998217,-0.1594364108
BANKBARODA,BANKBARODA.NS,NSE:BANKBARODA,0.03476482618,0.1637534499,5.34880803,0.3783710161
TATAPOWER,TATAPOWER.NS,NSE:TATAPOWER,-0.1305974255,0.5379525107,6.831516353,5.032061069
GODREJCP,GODREJCP.NS,NSE:GODREJCP,-0.1773959843,0.2204534985,0.7240780911,2.056687947
ENRIN,ENRIN.NS,NSE:ENRIN,0,0,0,0
HDFCAMC,HDFCAMC.NS,NSE:HDFCAMC,0.3332804569,1.202650593,1.797337454,0
CIPLA,CIPLA.NS,NSE:CIPLA,-0.07728492597,0.2973247976,1.086031768,1.383548839
TORNTPHARM,TORNTPHARM.NS,NSE:TORNTPHARM,0.0545023354,0.9739057467,1.751503626,4.221170507
MUTHOOTFIN,MUTHOOTFIN.NS,NSE:MUTHOOTFIN,0.5111857376,1.426164519,2.003533569,18.65949245
CGPOWER,CGPOWER.NS,NSE:CGPOWER,-0.005103688869,0.7723558522,34.48387097,3.498977505
LODHA,LODHA.NS,NSE:LODHA,-0.1552795031,0.5837884071,0,0
MAZDOCK,MAZDOCK.NS,NSE:MAZDOCK,0.3649858504,1.73157846,0,0
GAIL,GAIL.NS,NSE:GAIL,-0.1898061998,0.4584150327,2.226278691,2.259266022
SHRIRAMFIN,SHRIRAMFIN.NS,NSE:SHRIRAMFIN,-0.119460717,0.6147104932,4.571517247,2.62717931
BOSCHLTD,BOSCHLTD.NS,NSE:BOSCHLTD,0.08387110929,1.068508889,2.189527503,0.9669373362
MOTHERSON,MOTHERSON.NS,NSE:MOTHERSON,-0.1893944874,0.7364016736,1.425324675,1.377466582
SIEMENS,SIEMENS.NS,NSE:SIEMENS,-0.1038314453,0.6829882266,4.132639275,3.870000603
POLYCAB,POLYCAB.NS,NSE:POLYCAB,0.1514514189,0.4616064226,8.330554193,0
MAXHEALTH,MAXHEALTH.NS,NSE:MAXHEALTH,0.0953329539,1.076238425,9.617931034,0
ABB,ABB.NS,NSE:ABB,-0.3319856669,0.2697933874,5.177265316,4.633530543
ADANIENSOL,ADANIENSOL.NS,NSE:ADANIENSOL,-0.09742190165,0.1151252408,0,0
SWIGGY,SWIGGY.NS,NSE:SWIGGY,0,0,0,0
TATACONSUM,TATACONSUM.NS,NSE:TATACONSUM,-0.0686310924,0.2529424828,1.309219278,7.87804878
APOLLOHOSP,APOLLOHOSP.NS,NSE:APOLLOHOSP,0.07440442903,0.5077348662,2.945780813,4.478133799
CUMMINSIND,CUMMINSIND.NS,NSE:CUMMINSIND,0.03132598686,1.296270698,8.029328502,2.641669711
INDHOTEL,INDHOTEL.NS,NSE:INDHOTEL,0.0532316732,0.8425110132,7.541524847,8.260147601
DIXON,DIXON.NS,NSE:DIXON,0.2705850991,2.70422636,9.742458571,0
DRREDDY,DRREDDY.NS,NSE:DRREDDY,-0.01922773482,0.2,0.298185941,0.5571726812
HEROMOTOCO,HEROMOTOCO.NS,NSE:HEROMOTOCO,-0.1333564869,0.8035432144,0.838399068,1.283464567
CANBK,CANBK.NS,NSE:CANBK,0.1148215919,0.6244500733,6.31392557,1.251062258
SHREECEM,SHREECEM.NS,NSE:SHREECEM,0.1437663003,0.1482628126,0.6186937594,1.620731051
MANKIND,MANKIND.NS,NSE:MANKIND,-0.03341194227,0.4700869416,0,0
UNIONBANK,UNIONBANK.NS,NSE:UNIONBANK,0.1003375991,0.3733463988,4.639839034,-0.2174762702
