Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns
HAVELLS,HAVELLS.NS,NSE:HAVELLS,-0.2461582789,0.1238545246,1.363444746,5.383895893
UNITDSPR,UNITDSPR.NS,NSE:UNITDSPR,-0.175249501,#N/A,#N/A,#N/A
GMRAIRPORT,GMRAIRPORT.NS,NSE:GMRAIRPORT,-0.04606989191,0.5538461538,3.29787234,5.912547529
JSWENERGY,JSWENERGY.NS,NSE:JSWENERGY,-0.3119752541,0.2939570224,8.73125,5.285467128
INDIANB,INDIANB.NS,NSE:INDIANB,0.2936574462,0.6117428638,11.68493151,4.219842165
BAJAJHFL,BAJAJHFL.NS,NSE:BAJAJHFL,-0.3033471509,#N/A,#N/A,#N/A
INDUSTOWER,INDUSTOWER.NS,NSE:INDUSTOWER,-0.1087441169,0.9333691564,#N/A,#N/A
ICICIGI,ICICIGI.NS,NSE:ICICIGI,-0.1671061885,0.440024317,0.514424998,#N/A
MARICO,MARICO.NS,NSE:MARICO,0.003914590747,0.2184692467,1.058523059,2.546108206
DABUR,DABUR.NS,NSE:DABUR,-0.2203312911,-0.07017860364,0.05983960518,0.8772536879
NAUKRI,NAUKRI.NS,NSE:NAUKRI,-0.1441355732,0.6363700374,1.065318818,7.742319749
LUPIN,LUPIN.NS,NSE:LUPIN,-0.0797571314,0.8082931881,1.050020416,-0.0127571713
IDEA,IDEA.NS,NSE:IDEA,-0.1913123845,-0.2256637168,-0.03846153846,-0.8985507246
BSE,BSE.NS,NSE:BSE,0.6222401929,4.285213631,35.75077774,#N/A
ICICIPRULI,ICICIPRULI.NS,NSE:ICICIPRULI,-0.2415144428,0.03842159917,0.4484007242,#N/A
NHPC,NHPC.NS,NSE:NHPC,-0.08106960951,0.6574162679,3.33,4.296636086
HINDPETRO,HINDPETRO.NS,NSE:HINDPETRO,0.05093567976,1.442818459,2.691129102,2.683753258
NTPCGREEN,NTPCGREEN.NS,NSE:NTPCGREEN,#N/A,#N/A,#N/A,#N/A
SRF,SRF.NS,NSE:SRF,0.1928523125,0.3002591137,2.632993397,11.96956464
ATGL,ATGL.NS,NSE:ATGL,-0.1368887293,0.1366861107,#N/A,#N/A
POWERINDIA,POWERINDIA.NS,NSE:POWERINDIA,0.493376091,3.541597447,19.46972635,#N/A
BHARTIHEXA,BHARTIHEXA.NS,NSE:BHARTIHEXA,0.1711643836,#N/A,#N/A,#N/A
BHEL,BHEL.NS,NSE:BHEL,-0.1316557257,0.900998004,6.976549414,0.8301306687
SBICARD,SBICARD.NS,NSE:SBICARD,0.09427080058,0.1049022098,0.06604582772,#N/A
POLICYBZR,POLICYBZR.NS,NSE:POLICYBZR,-0.06269527182,1.425058942,#N/A,#N/A
PERSISTENT,PERSISTENT.NS,NSE:PERSISTENT,-0.01454170185,0.7751159301,7.895663957,14.45160341
SUZLON,SUZLON.NS,NSE:SUZLON,-0.2908674146,1.305098039,20.37454545,2.168733154
ASHOKLEY,ASHOKLEY.NS,NSE:ASHOKLEY,0.218387888,0.578976214,3.274480712,2.181316254
OFSS,OFSS.NS,NSE:OFSS,-0.2030373811,1.204076695,2.076143846,1.366664069
GVT&D,GVT&D.NS,NSE:GVT&D,0.9316828177,6.671653241,35.83241252,4.910165485
PIDILITIND,PIDILITIND.NS,NSE:PIDILITIND,-0.09405952612,0.1967929445,1.133190425,4.389781549
IOB,IOB.NS,NSE:IOB,-0.3506961507,-0.08873563218,3.479096045,0.08602739726
PAYTM,PAYTM.NS,NSE:PAYTM,0.8126007214,0.3919500265,#N/A,#N/A
UNOMINDA,UNOMINDA.NS,NSE:UNOMINDA,0.1587719298,1.20038311,7.396898042,76.11617046
ABCAPITAL,ABCAPITAL.NS,NSE:ABCAPITAL,0.2493045153,0.6533559898,3.75794621,#N/A
RVNL,RVNL.NS,NSE:RVNL,-0.332178635,1.10041225,17.87037037,#N/A
FORTIS,FORTIS.NS,NSE:FORTIS,0.6189123716,1.91691752,6.098901099,4.635359116
PRESTIGE,PRESTIGE.NS,NSE:PRESTIGE,-0.1508137814,1.635938653,5.91926803,6.590930562
VMM,VMM.NS,NSE:VMM,#N/A,#N/A,#N/A,#N/A
NYKAA,NYKAA.NS,NSE:NYKAA,0.1806841245,0.6731673097,#N/A,#N/A
JSWINFRA,JSWINFRA.NS,NSE:JSWINFRA,-0.004656577416,#N/A,#N/A,#N/A
LLOYDSME,LLOYDSME.NS,NSE:LLOYDSME,0.5132001837,1.485248374,#N/A,#N/A
NMDC,NMDC.NS,NSE:NMDC,0.09052924791,0.641509434,2.097310127,1.51364366
COROMANDEL,COROMANDEL.NS,NSE:COROMANDEL,0.345331699,1.018389773,1.829121086,13.11100659
OIL,OIL.NS,NSE:OIL,-0.3033244567,1.187162891,6.185894028,1.883453033
YESBANK,YESBANK.NS,NSE:YESBANK,-0.06672481465,0.2263610315,0.6525096525,-0.853404576
ALKEM,ALKEM.NS,NSE:ALKEM,-0.0688597481,0.5665293382,0.9977048181,#N/A
PATANJALI,PATANJALI.NS,NSE:PATANJALI,0.03549276361,0.414017834,#N/A,#N/A
JSL,JSL.NS,NSE:JSL,0.03883997929,0.8108779057,18.73923739,19.81452659
TIINDIA,TIINDIA.NS,NSE:TIINDIA,-0.2283896574,0.03041356841,4.761854951,#N/A
AUROPHARMA,AUROPHARMA.NS,NSE:AUROPHARMA,-0.2535872244,0.265266411,0.4862521008,0.4801821103
MRF,MRF.NS,NSE:MRF,0.1319286362,0.4204436349,1.792938006,2.766461904
HDBFS,HDBFS.NS,NSE:HDBFS,#N/A,#N/A,#N/A,#N/A
SCHAEFFLER,SCHAEFFLER.NS,NSE:SCHAEFFLER,0.049856,0.3310613437,4.778172288,3.938405404
ABBOTINDIA,ABBOTINDIA.NS,NSE:ABBOTINDIA,0.06767280858,0.3355025132,0.8926477673,4.319289237
FACT,FACT.NS,NSE:FACT,-0.0113913751,0.8073633321,22.25358852,50.02362205
TORNTPOWER,TORNTPOWER.NS,NSE:TORNTPOWER,-0.3134264232,0.780377411,3.164169381,6.123989969
GICRE,GICRE.NS,NSE:GICRE,-0.08543786908,0.6082633672,2.002887789,#N/A
COLPAL,COLPAL.NS,NSE:COLPAL,-0.3692531272,0.159637426,0.6900178318,1.450659631
GODREJPROP,GODREJPROP.NS,NSE:GODREJPROP,-0.3402352499,0.3197982267,1.478611356,5.735529261
LTF,LTF.NS,NSE:LTF,0.3364404943,#N/A,#N/A,#N/A
BERGEPAINT,BERGEPAINT.NS,NSE:BERGEPAINT,-0.1319020899,-0.1270035983,0.1138123161,3.091605979
OBEROIRLTY,OBEROIRLTY.NS,NSE:OBEROIRLTY,-0.1229963414,0.4686825054,3.119683482,5.368501529
BHARATFORG,BHARATFORG.NS,NSE:BHARATFORG,-0.2084439388,0.1321129944,1.904115942,1.760840332
BDL,BDL.NS,NSE:BDL,0.370629972,2.215503501,9.898584422,#N/A
PHOENIXLTD,PHOENIXLTD.NS,NSE:PHOENIXLTD,-0.1012026825,0.8157084476,4.914727551,8.770454272
IRCTC,IRCTC.NS,NSE:IRCTC,-0.2052296199,0.04962275102,1.701572245,#N/A
UPL,UPL.NS,NSE:UPL,0.1915271525,0.144877579,0.3982788509,1.331956634
COFORGE,COFORGE.NS,NSE:COFORGE,0.2117845265,0.5784445411,2.94594339,#N/A
INDUSINDBK,INDUSINDBK.NS,NSE:INDUSINDBK,-0.4846768139,-0.4766938139,0.5400305966,-0.1801498534
MOTILALOFS,MOTILALOFS.NS,NSE:MOTILALOFS,0.2139316131,3.47915201,5.147409076,11.72824204
GLENMARK,GLENMARK.NS,NSE:GLENMARK,0.1795380887,1.571319458,3.445691647,1.022833108
SAIL,SAIL.NS,NSE:SAIL,0.05868291178,0.474650913,3.179299848,1.658083253
PIIND,PIIND.NS,NSE:PIIND,-0.225507234,0.07040551692,0.9195624026,4.691608556
SUPREMEIND,SUPREMEIND.NS,NSE:SUPREMEIND,-0.2055126569,0.03242972367,2.124165072,6.07464639
BANKINDIA,BANKINDIA.NS,NSE:BANKINDIA,0.08016727467,0.1393711872,2.092993631,-0.1057090239
LINDEINDIA,LINDEINDIA.NS,NSE:LINDEINDIA,-0.2451113612,0.1021235291,7.939226519,20.51595745
MPHASIS,MPHASIS.NS,NSE:MPHASIS,-0.08861425191,0.1120558274,1.191676876,5.809430255
GODFRYPHLP,GODFRYPHLP.NS,NSE:GODFRYPHLP,0.3669117587,3.712800529,9.950575314,14.12551923
MFSL,MFSL.NS,NSE:MFSL,0.324386471,0.7283937145,1.73180407,3.214854041
NAM_INDIA,NAM_INDIA.NS,NSE:NAM_INDIA,#N/A,#N/A,#N/A,#N/A
JKCEMENT,JKCEMENT.NS,NSE:JKCEMENT,0.4224187495,1.163859867,3.596648875,9.76077501
AUBANK,AUBANK.NS,NSE:AUBANK,-0.005572545022,-0.01441368627,1.306588903,#N/A
KALYANKJIL,KALYANKJIL.NS,NSE:KALYANKJIL,-0.3547128082,1.428991185,#N/A,#N/A
IDFCFIRSTB,IDFCFIRSTB.NS,NSE:IDFCFIRSTB,-0.04620372872,-0.2513255567,1.614814815,#N/A
SUNDARMFIN,SUNDARMFIN.NS,NSE:SUNDARMFIN,-0.07165570066,0.4747510047,2.592740219,2.089414662
AIIL,AIIL.NS,NSE:AIIL,0.7619606692,#N/A,#N/A,#N/A
COCHINSHIP,COCHINSHIP.NS,NSE:COCHINSHIP,0.06101123596,2.841506824,11.06387736,#N/A
KRT.RR,KRT.RR.NS,NSE:KRT.RR,#N/A,#N/A,#N/A,#N/A
ITCHOTELS,ITCHOTELS.NS,NSE:ITCHOTELS,#N/A,#N/A,#N/A,#N/A
BALKRISIND,BALKRISIND.NS,NSE:BALKRISIND,-0.2046525747,-0.02862606592,0.9061841853,6.428741979
LAURUSLABS,LAURUSLABS.NS,NSE:LAURUSLABS,0.9170002107,1.340534979,2.522217061,#N/A
PAGEIND,PAGEIND.NS,NSE:PAGEIND,-0.00540824522,0.08496780091,1.267133323,2.241815902
BIOCON,BIOCON.NS,NSE:BIOCON,-0.02727149993,0.3640666414,-0.1175750153,3.882759555
HUDCO,HUDCO.NS,NSE:HUDCO,-0.03388786198,1.81508079,6.68627451,#N/A
KAYNES,KAYNES.NS,NSE:KAYNES,0.2948210737,2.412516808,#N/A,#N/A
FEDERALBNK,FEDERALBNK.NS,NSE:FEDERALBNK,0.04449773515,0.3324269205,3.284153005,2.055339049
TATACOMM,TATACOMM.NS,NSE:TATACOMM,-0.1683725563,-0.1006921068,1.133801917,5.718844312
UBL,UBL.NS,NSE:UBL,-0.1627527343,0.1370027869,0.9501357958,1.136260859
GLAXO,GLAXO.NS,NSE:GLAXO,0.01283932502,0.793264703,0.7861301591,0.6645565805
ANTHEM,ANTHEM.NS,NSE:ANTHEM,#N/A,#N/A,#N/A,#N/A
APLAPOLLO,APLAPOLLO.NS,NSE:APLAPOLLO,0.179647228,0.09029623388,5.576220823,32.66693355
PREMIERENE,PREMIERENE.NS,NSE:PREMIERENE,-0.07241727014,#N/A,#N/A,#N/A
VOLTAS,VOLTAS.NS,NSE:VOLTAS,-0.2706313581,0.5677990294,1.11214522,4.473390472
IREDA,IREDA.NS,NSE:IREDA,-0.3242268937,#N/A,#N/A,#N/A
DALBHARAT,DALBHARAT.NS,NSE:DALBHARAT,0.2362507236,0.004898290946,2.199836535,#N/A
LTTS,LTTS.NS,NSE:LTTS,-0.2325274325,-0.1083274262,1.635479533,#N/A
HEXT,HEXT.NS,NSE:HEXT,#N/A,#N/A,#N/A,#N/A
MAHABANK,MAHABANK.NS,NSE:MAHABANK,-0.09569074778,0.236836403,4.285185185,0.6763582966
PGHH,PGHH.NS,NSE:PGHH,-0.1871075131,-0.2353155533,0.3628015059,1.23878109
FLUOROCHEM,FLUOROCHEM.NS,NSE:FLUOROCHEM,-0.1208616238,0.2851418976,6.812026276,#N/A
360ONE,360ONE.NS,NSE:360ONE,-0.05223463687,0.9559953882,#N/A,#N/A
CONCOR,CONCOR.NS,NSE:CONCOR,-0.2344639135,-0.069476784,0.8307060092,0.6061823985
PETRONET,PETRONET.NS,NSE:PETRONET,-0.1693560549,0.1503759398,0.3070716659,2.086405917
JUBLFOOD,JUBLFOOD.NS,NSE:JUBLFOOD,-0.1271192452,0.1367205543,0.3602095861,2.786619892
BLUESTARCO,BLUESTARCO.NS,NSE:BLUESTARCO,-0.02426907122,1.154217396,5.212241025,10.80643222
MCX,MCX.NS,NSE:MCX,0.3701475007,3.231193818,3.93319441,7.456164312
RADICO,RADICO.NS,NSE:RADICO,0.3792461177,1.55708551,6.44595274,34.40944411
M&MFIN,M&MFIN.NS,NSE:M&MFIN,-0.1245395165,-0.03147368061,1.561826252,1.07498716
ESCORTS,ESCORTS.NS,NSE:ESCORTS,-0.1119298991,0.1622695167,2.247257967,23.5751634
ENDURANCE,ENDURANCE.NS,NSE:ENDURANCE,0.1701436037,0.7870923145,1.688409907,#N/A
GODREJIND,GODREJIND.NS,NSE:GODREJIND,-0.04688825169,1.125743109,1.921153608,2.363260653
KEI,KEI.NS,NSE:KEI,-0.009226165739,0.7272859006,11.3213231,40.8875502
THERMAX,THERMAX.NS,NSE:THERMAX,-0.3583355623,0.1349689105,3.636708773,2.826374252
KPRMILL,KPRMILL.NS,NSE:KPRMILL,0.1887760556,0.5263519078,8.550021468,13.12549219
NATIONALUM,NATIONALUM.NS,NSE:NATIONALUM,0.1608965823,1.24386059,5.963061564,4.724760602
EMBASSY.RR,EMBASSY.RR.NS,NSE:EMBASSY.RR,#N/A,#N/A,#N/A,#N/A
ASTRAL,ASTRAL.NS,NSE:ASTRAL,-0.2729669438,-0.2323340471,1.343137255,6.53863947
UCOBANK,UCOBANK.NS,NSE:UCOBANK,-0.3883804218,-0.275,1.572384937,-0.342459893
POONAWALLA,POONAWALLA.NS,NSE:POONAWALLA,0.2027937141,0.2997304582,13.83692308,4.669606114
CHOLAHLDNG,CHOLAHLDNG.NS,NSE:CHOLAHLDNG,-0.04222425607,0.6482908348,4.023352361,#N/A
SJVN,SJVN.NS,NSE:SJVN,-0.2788946674,0.3309455587,3.26146789,2.761133603
TATAINVEST,TATAINVEST.NS,NSE:TATAINVEST,0.1569415051,1.708094628,8.86193778,14.16083388
NLCINDIA,NLCINDIA.NS,NSE:NLCINDIA,0.01484332051,1.048076923,4.662576687,2.76478586
CRISIL,CRISIL.NS,NSE:CRISIL,0.04440329041,0.2473959003,1.828895564,1.698191933
MEDANTA,MEDANTA.NS,NSE:MEDANTA,0.2091029325,0.9025475422,#N/A,#N/A
NH,NH.NS,NSE:NH,0.4095973973,0.6318440751,4.604203719,#N/A
IPCALAB,IPCALAB.NS,NSE:IPCALAB,-0.05152586592,0.5484196369,0.3346536567,2.597187866
ACC,ACC.NS,NSE:ACC,-0.2438563327,-0.06004699765,0.4421048594,0.40639611
AWL,AWL.NS,NSE:AWL,-0.2591433044,-0.234861846,#N/A,#N/A
APARINDS,APARINDS.NS,NSE:APARINDS,-0.1168417994,0.5924175844,29.1409431,19.76978417
DELHIVERY,DELHIVERY.NS,NSE:DELHIVERY,0.05756142577,0.08857753503,#N/A,#N/A
